Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.325112384314795,-0.0501196108892909,-0.283394234336107,0,0,0,0.0531975223507682,5.0643849940132E-05,-1.05612861415327E-06,-1.41697818873433E-06,5.1204926922399E-05,-2.29108365711597E-05,3.45494710328934E-05,0,0,0,0,0,0,package://avp_model/meshes/base_link.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://avp_model/meshes/base_link.STL,,Solid1-3-2;部件1.sldasm-Part-16-1;Solid1-3-1;Solid1-2-1;Solid1-2-2;部件1.sldasm-Part-10-1;部件1.sldasm-Part-1-1;部件1.sldasm-Part-11-1;部件1.sldasm-Part-13-1;部件1.sldasm-Part-6-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Yaw_Link,0.0387817092188897,-0.014555591654332,0.00907129877059223,0,0,0,0.0743767050613524,1.31447436238562E-05,-3.61044207949233E-07,5.89080580571358E-07,3.77866228512475E-05,2.89886070072247E-06,4.12875141791642E-05,0,0,0,0,0,0,package://avp_model/meshes/Yaw_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avp_model/meshes/Yaw_Link.STL,,部件1.sldasm-Part-8-1;部件1.sldasm-Part-15-1;Solid1-1-5;Solid1-1-3;Solid1-1-4;Solid1-1-1;Solid1-1-10;Solid1-1-12;Solid1-1-11;Solid1-1-7;Solid1-1;部件1.sldasm-Part-2-1;部件1.sldasm-Part-4-1;部件1.sldasm-Part-7-2;部件1.sldasm-Part-7-1;部件1.sldasm-Part-6-2;Solid1-4-2;Solid1-4-1;Solid1-1-6;Solid1-1-8;Solid1-1-9;Solid1-1-2,Origin_Yaw_Link2,,Yaw_Link,fixed,0.27999,-0.17008,-0.34728,-2.2154,0.10346,-0.071673,base_link,0,0,0,,,,,,,,,,,,
Pitch_Link,0.0372013668182159,0.0059557373578632,0.000742361833906913,0,0,0,0.0466075633602317,4.09360501139725E-06,-8.99433411814004E-09,2.63603869271789E-08,3.1585626044715E-05,-8.4588848981381E-08,3.21678923156926E-05,0,0,0,0,0,0,package://avp_model/meshes/Pitch_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://avp_model/meshes/Pitch_Link.STL,,部件1.sldasm-Part-8-1;Solid1-1;部件1.sldasm-Part-4-1;Solid1-4-2;部件1.sldasm-Part-7-2;部件1.sldasm-Part-15-1;Solid1-1-11;Solid1-1-5;Solid1-1-3;Solid1-1-4;Solid1-4-1,Origin_Pitch_Link2,,Pitch_Link,fixed,0,0,0,0,0,0,Yaw_Link,0,0,0,,,,,,,,,,,,
